stock_code,trade_date,close,pre_close,prev_close,change_pct,change_amount,adj_factor,prev_f,prev_date,data_source,domain,same_factor,eq_violated,judgement,dev
920639,2021-05-28,4.340,,2.970,46.1300,1.370,,,2021-05-27,AKSHARE,seg_4_8_92,False,False,possible_legal,
920639,2021-08-05,4.200,,3.180,32.0800,1.020,,,2021-08-04,AKSHARE,seg_4_8_92,False,False,possible_legal,
920640,2019-09-06,8.170,4.300,0.520,90.0000,3.870,1.00000000,,2019-05-21,SINA,seg_4_8_92,False,False,possible_legal,7.269230769230768
920641,2015-07-06,-2.490,,,-128.3000,-11.290,,,,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2015-09-02,-1.500,,-2.490,39.7600,0.990,,,2015-07-06,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2017-07-12,-0.500,,-1.100,54.5500,0.600,,,2017-07-11,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2019-03-12,1.610,,-0.500,422.0000,2.110,,,2017-09-14,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2019-07-18,3.100,,1.710,81.2900,1.390,,,2019-03-25,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2020-03-26,5.620,,3.120,80.1300,2.500,,,2019-11-08,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2021-02-10,2.620,,5.950,-55.9700,-3.330,,,2020-10-15,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2021-02-22,3.700,,2.620,41.2200,1.080,,,2021-02-10,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2021-07-15,6.200,,4.050,53.0900,2.150,,,2021-07-14,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2021-07-19,4.050,,6.200,-34.6800,-2.150,,,2021-07-15,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2021-09-06,6.700,,4.200,59.5200,2.500,,,2021-09-03,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2021-09-07,4.200,,6.700,-37.3100,-2.500,,,2021-09-06,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2022-03-28,7.080,,5.030,40.7600,2.050,,,2022-03-23,AKSHARE,seg_4_8_92,False,False,possible_legal,
920641,2022-06-20,8.970,,5.810,54.3900,3.160,,,2022-06-15,AKSHARE,seg_4_8_92,False,False,possible_legal,
920642,2017-06-28,22.040,15.000,15.000,46.9333,7.040,1.00000000,1.00000000,2017-06-27,SINA,seg_4_8_92,True,False,possible_legal,0.0
920642,2017-08-14,11.200,22.040,22.040,-49.1833,-10.840,1.00000000,1.00000000,2017-06-28,SINA,seg_4_8_92,True,False,possible_legal,0.0
920642,2017-10-11,5.900,11.200,11.200,-47.3214,-5.300,1.00000000,1.00000000,2017-08-14,SINA,seg_4_8_92,True,False,possible_legal,0.0
920642,2017-10-12,3.500,5.900,5.900,-40.6780,-2.400,1.00000000,1.00000000,2017-10-11,SINA,seg_4_8_92,True,False,possible_legal,0.0
920642,2017-10-25,5.200,3.490,3.490,48.9971,1.710,1.00000000,1.00000000,2017-10-24,SINA,seg_4_8_92,True,False,possible_legal,0.0
920642,2018-04-27,2.500,4.000,4.000,-37.5000,-1.500,1.00000000,1.00000000,2018-04-26,SINA,seg_4_8_92,True,False,possible_legal,0.0
920642,2018-05-14,4.000,2.500,2.500,60.0000,1.500,1.00000000,1.00000000,2018-04-27,SINA,seg_4_8_92,True,False,possible_legal,0.0
920642,2018-06-21,0.000,,4.000,-100.0000,,1.00000000,1.00000000,2018-06-12,SINA,seg_4_8_92,True,False,possible_legal,
